Wavelength_nm,0,3,6,8,9
366,0.15978,0.14951,0.12181,0.10542,0.10467
367,0.15887,0.14831,0.11964,0.10332,0.10273
368,0.15928,0.14835,0.11972,0.10216,0.10115
369,0.15992,0.14845,0.11800,0.10059,0.09883
370,0.16067,0.14946,0.11822,0.09951,0.09929
371,0.16140,0.15031,0.11812,0.09915,0.09898
372,0.16203,0.15100,0.11823,0.09907,0.09783
373,0.16283,0.15003,0.11718,0.09829,0.09735
374,0.16353,0.15149,0.11833,0.09887,0.09842
375,0.16406,0.15186,0.11853,0.09945,0.09825
376,0.16294,0.15182,0.11779,0.09878,0.09754
377,0.16411,0.15269,0.11924,0.09943,0.09864
378,0.16496,0.15257,0.11965,0.10020,0.10006
379,0.16526,0.15358,0.12117,0.10209,0.10145
380,0.16546,0.15446,0.12225,0.10384,0.10249
381,0.16509,0.15375,0.12231,0.10425,0.10407
382,0.16712,0.15597,0.12580,0.10771,0.10704
383,0.16609,0.15544,0.12567,0.10866,0.10777
384,0.16681,0.15658,0.12853,0.11215,0.11217
385,0.16751,0.15751,0.13101,0.11641,0.11526
386,0.16792,0.15878,0.13422,0.11991,0.11883
387,0.16976,0.16115,0.13841,0.12581,0.12492
388,0.17108,0.16297,0.14126,0.12972,0.12904
389,0.16941,0.16228,0.14363,0.13319,0.13258
390,0.17080,0.16474,0.14819,0.13965,0.13853
391,0.17313,0.16770,0.15421,0.14689,0.14638
392,0.17622,0.17162,0.16037,0.15481,0.15455
393,0.17701,0.17348,0.16483,0.16093,0.15935
394,0.17751,0.17419,0.16847,0.16584,0.16510
395,0.18035,0.17768,0.17461,0.17334,0.17339
396,0.18267,0.18128,0.18031,0.18057,0.17982
397,0.18729,0.18665,0.18802,0.18999,0.18835
398,0.19157,0.19145,0.19530,0.19907,0.19703
399,0.19397,0.19378,0.19994,0.20463,0.20350
400,0.19752,0.19848,0.20496,0.21033,0.20994
401,0.20199,0.20355,0.21386,0.22015,0.21904
402,0.20750,0.21009,0.22162,0.22998,0.22766
403,0.21355,0.21591,0.22954,0.23917,0.23782
404,0.22113,0.22483,0.24064,0.25133,0.25004
405,0.22938,0.23299,0.25179,0.26448,0.26284
406,0.23351,0.23771,0.25965,0.27367,0.27301
407,0.24173,0.24725,0.27296,0.28729,0.28673
408,0.24984,0.25748,0.28651,0.30397,0.30335
409,0.26100,0.26904,0.30236,0.32396,0.32312
410,0.27039,0.28028,0.31895,0.34306,0.34187
411,0.28016,0.29096,0.33523,0.36340,0.36140
412,0.29177,0.30535,0.35572,0.38635,0.38493
413,0.30241,0.31814,0.37551,0.40997,0.40836
414,0.31234,0.32952,0.39364,0.43276,0.43077
415,0.32339,0.34155,0.41217,0.45488,0.45493
416,0.33478,0.35512,0.43177,0.47738,0.47603
417,0.34670,0.36867,0.45055,0.49794,0.49681
418,0.35696,0.38129,0.46665,0.51608,0.51345
419,0.36874,0.39257,0.47987,0.53116,0.52809
420,0.38176,0.40531,0.49225,0.54277,0.53987
421,0.39478,0.41688,0.49883,0.54749,0.54640
422,0.40277,0.42300,0.49830,0.54361,0.54154
423,0.41466,0.43117,0.49934,0.53831,0.53547
424,0.41962,0.43277,0.48783,0.52103,0.51777
425,0.43287,0.44039,0.48012,0.50208,0.49910
426,0.44018,0.44209,0.46355,0.47506,0.47318
427,0.45018,0.44752,0.44913,0.45126,0.44882
428,0.45374,0.44260,0.42801,0.41830,0.41631
429,0.46332,0.44659,0.41176,0.39087,0.38910
430,0.46792,0.44616,0.39064,0.35689,0.35517
431,0.47204,0.44536,0.37422,0.32977,0.32802
432,0.47145,0.43871,0.35363,0.30086,0.29876
433,0.47720,0.43949,0.33856,0.27500,0.27374
434,0.47598,0.43738,0.32239,0.25042,0.24972
435,0.47347,0.42950,0.30628,0.22879,0.22780
436,0.47161,0.42523,0.29284,0.21028,0.20913
437,0.46127,0.41650,0.27832,0.19176,0.19125
438,0.44950,0.40299,0.26497,0.17731,0.17651
439,0.43325,0.38719,0.25038,0.16428,0.16214
440,0.41472,0.36879,0.23451,0.15111,0.15070
441,0.38905,0.34656,0.22029,0.14315,0.14175
442,0.35800,0.31865,0.20213,0.13019,0.12964
443,0.32979,0.29267,0.18897,0.12450,0.12355
444,0.29239,0.26061,0.17050,0.11470,0.11397
445,0.26173,0.23473,0.15671,0.10864,0.10814
446,0.22926,0.20654,0.14105,0.10221,0.10123
447,0.20111,0.18157,0.12771,0.09572,0.09535
448,0.17527,0.16010,0.11667,0.09142,0.09036
449,0.15274,0.14077,0.10655,0.08638,0.08676
450,0.13357,0.12468,0.09828,0.08258,0.08257
451,0.11715,0.11042,0.08964,0.07891,0.07814
452,0.10327,0.09716,0.08247,0.07445,0.07345
453,0.09013,0.08620,0.07569,0.07037,0.06976
454,0.08110,0.07818,0.07136,0.06822,0.06806
455,0.07366,0.07202,0.06842,0.06732,0.06679
456,0.06393,0.06371,0.06193,0.06298,0.06238
457,0.06018,0.05960,0.06053,0.06227,0.06188
458,0.05579,0.05621,0.05819,0.05983,0.06002
459,0.05036,0.05176,0.05423,0.05701,0.05716
460,0.04583,0.04729,0.05174,0.05525,0.05526
461,0.04189,0.04413,0.04848,0.05271,0.05257
462,0.03857,0.03986,0.04497,0.05031,0.04879
463,0.03914,0.04185,0.04700,0.05174,0.05123
464,0.03844,0.04091,0.04623,0.05127,0.05204
465,0.03530,0.03827,0.04486,0.05019,0.04889
466,0.03116,0.03398,0.04138,0.04734,0.04641
467,0.02930,0.03148,0.03957,0.04427,0.04426
